Unnamed: 0,رمز النشاط,اسم النشاط,المجال العام للأنشطة,company,اسم النشاط
0.0,741010,أنشطة تصميم الأزياء والملبوسات والأحذية والمجوهرات,الأنشطة المهنية والعلمية والتقنية,,أنشطة تصميم الازياء والملبوسات والاحذية والمجوهرات 
1.0,432111,تمديد الأسلاك الكهربائية,التشييد,,تمديد الاسلاك الكهربائية 
2.0,432131,تركيب أنظمة الإضاءة,التشييد,,تركيب انظمة الاضاءة 
3.0,433021,تركيب الأبواب والشبابيك وإطارات الأبواب الشرشوب والسلالم والمطابخ الخشبية,التشييد,,تركيب الابواب والشبابيك وإطارات الابواب ( الشرشوب ) والدربزينات والسلالم والمطابخ الخشبية
4.0,433022,تركيب الأبواب والشبابيك وإطارات الأبواب الشرشوب والسلالم والمطابخ الألومنيوم,التشييد,,تركيب الابواب والشبابيك وإطارات الابواب ( الشرشوب ) والدربزينات والسلالم والمطابخ الالمونيوم
5.0,433023,تركيب الأبواب والشبابيك وإطارات الأبواب الشرشوب والسلالم والمطابخ المعدنية,التشييد,,تركيب الابواب والشبابيك وإطارات الابواب ( الشرشوب ) والدربزينات والسلالم والمطابخ  المعدنية
6.0,433024,تركيب المظلات والسواتر,التشييد,,
7.0,433030,تركيب الأسقف الداخلية والحواجز وتلبيس الجدران بالأخشاب,التشييد,,تركيب الاسقف الداخلية والحواجز وتلبيس الجدران بالأخشاب
8.0,433041,تركيب السيراميك والكاشي,التشييد,,تركيب السيراميك والكاشي  
9.0,433042,تركيب الرخام,التشييد,,تركيب الرخام
10.0,433045,جلي وتلميع البلاط والرخام,التشييد,,
11.0,433051,تغطية الأرضيات خشب الباركيه,التشييد,,تغطية الارضيات خشب الباركيه 
12.0,433052,تغطية الأرضيات بالمطاط والمشمع والبلاستيك,التشييد,,تغطية الارضيات بالمطاط والمشمع والبلاستيك 
13.0,433061,أعمال وتركيب الديكورات المختلفة,التشييد,,أعمال وتركيب الديكورات  
14.0,433062,أعمال التزيين ولصق ورق الحائط,التشييد,,أعمال التزيين ولصق  ورق الحائط
15.0,433071,أعمال التجيص والمساح,التشييد,,أعمال التجصيص والمساح
16.0,433081,تركيب الزجاج والمرايا للمباني,التشييد,,تركيب الزجاج والمرايا للمباني
17.0,433082,تركيب زجاج واجهات الأبراج,التشييد,,تركيب زجاج واجهات الابراج
18.0,433093,تركيب الأثاث,التشييد,,تركيب الأثاث
19.0,813011,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,الخدمات الإدارية وخدمات الدعم,,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام
20.0,813012,رعاية وصيانة مناظر المباني والحدائق المنزلية وحدائق الأسقف وواجهات المباني الخاصة وغيرها,الخدمات الإدارية وخدمات الدعم,,رعاية وصيانة مناظرالمباني والحدائق المنزلية وحدائق الأسقف وواجهات المباني الخاصة وغيرها
21.0,813020,أنشطة خدمات تصميم المناظر الطبيعية,الخدمات الإدارية وخدمات الدعم,,أنشطة خدمات تصميم المناظر الطبيعية
22.0,829202,أنشطة تنظيف الأثاث,الخدمات الإدارية وخدمات الدعم,,أنشطة تغليف الأثاث
23.0,829203,أنشطة تنظيف الطرود والهدايا,الخدمات الإدارية وخدمات الدعم,,أنشطة تغليف الطرود والهدايا
24.0,151121,صناعة حقائب الأمتعة والحقائب المدرسية من الجلود الطبيعية,الصناعة,,
25.0,151122,صناعة حقائب الأمتعة والحقائب المدرسية من الجلود الصناعية,الصناعة,,
26.0,151124,صناعة حقائب اليد للسيدات من الجلود الطبيعية,الصناعة,,
27.0,161011,نشر وتقطيع الخشب الخام,الصناعة,,نشر وتقطيع الخشب الخام
28.0,161012,نشر وتقطيع الأخشاب,الصناعة,,صناعة العوارض الخشبية للسكك الحديدية
29.0,161020,تشريب الخشب أو معالجته كيميائيا بمواد حافظة,الصناعة,,تشريب الخشب أو معالجته كيمائيا بمواد حافظه
30.0,162140,صناعة الأرضيات الخشبية غير المجمعه,الصناعة,,
31.0,162220,صناعة الأبواب والنوافذ الخشبية,الصناعة,,صناعة الأبواب والنوافذ الخشبية
32.0,162240,أعمال الديكور الخشبي,الصناعة,,أعمال الديكور الخشبي
33.0,162250,أعمال ورش النجارة بشكل عام,الصناعة,,أعمال ورش النجارة بشكل عام
34.0,162260,صناعة الحلي الخشبية والقوالب والألواح الخشبية لكساء الأسقف والجدران الداخلية,الصناعة,,صناعة الحلي الخشبية المحدبة والقوالب والألواح الخشبية لكساء الأسقف والجدران الداخلية
35.0,162270,صناعة المباني الخشبية سابقة التجهيز,الصناعة,,صناعة المباني الخشبية سابقة التجهيز
36.0,162280,صناعة الجدران والفواصل الخشبية الثابتة,الصناعة,,صناعة الجدران والفواصل الخشبية المثبتة
37.0,162320,صناعة الحاويات الخشبية يشمل علب التعبئة والصناديق وأوعية الشحن المصنوعة من الخشب,الصناعة,,صناعة البراميل والأحواض الخشبية
38.0,162330,صناعة المنصات الخشبية,الصناعة,,
39.0,162340,صناعة أدوات المطبخ من الخشب,الصناعة,,
40.0,162350,صناعة الأجهزة المنزلية من الخشب,الصناعة,,
41.0,162941,صناعة تماثيل وتحف صغيرة من الخشب,الصناعة,,صناعة تماثيل  وتحف صغيرة من الخشب
42.0,162942,صناعة أطر البراويز من الخشب,الصناعة,,صناعة أطر البراويز من الخشب
43.0,162943,صناعة صناديق المجوهرات وعلب التحف من الخشب,الصناعة,,صناعة صناديق المجوهرات وعلب التحف من الخشب
44.0,181100,الحفر والحفر الضوئي على الألواح المعدنية أو البلاستيكية لزنك غراف,الصناعة,,
45.0,202331,صناعة الشامبوهات,الصناعة,,
46.0,202341,صناعة العطورات الرجالية والنسائية,الصناعة,,صناعة العطورات الرجالية والنسائية
47.0,202345,خلط وصناعة العطور والزيوت والنباتات,الصناعة,,
48.0,202381,صناعة الشموع الصناعية,الصناعة,,صناعة الشموع الصناعية
49.0,202382,صناعة الشموع المعطرة المكونة من مخاليط الشموع,الصناعة,,صناعة الشموع المحضرة المكونة من مخاليط الشموع
50.0,231052,تقطيع وشفط الزجاج العادي,الصناعة,,تقطيع وشطف الزجاج العادي
51.0,239620,صناعة منتجات الفخار المستخدمة في نقل السلع أو تعبئتها مثل القلل، الجرار، ...,الصناعة,,العمليات المنفذة على الأحجار الخشنة خارج المحاجر 
52.0,259320,معالجة وطلي المعادن بالحقن والتلميع,الصناعة,,صناعة شفرات الحلاقة بأنواعها
53.0,259322,معالجة وطلي المعادن بالنحاس,الصناعة,,
54.0,259324,قطع المعادن والكتابة عليها بواسطة أشعة الليزر,الصناعة,,
55.0,321191,طلاء أصناف من المنتجات بالمعادن الثمينة,الصناعة,,طلاء أصناف من المنتجات بالمعادن الثمينة 
56.0,321192,ورش لحام وتلميع الحلي الصناعة,الصناعة,,ورش لحام وتلميع الحلي ( الصاغة ) 
57.0,321211,صناعة المجوهرات المقلدة والإكسسوارات,الصناعة,,
58.0,321213,صناعة الأحجار الكريمة المقلدة,الصناعة,,
59.0,202352,صناعة المعطرات ومعطرات الجو وغيرها,الصناعة,,صناعة مزيلات وفرد الشعر بكافة أشكالها
60.0,202391,صناعة الشموع بأنواعها,الصناعة,,
61.0,331416,إصلاح وصيانة معدات الإضاءة الكهربائية,الصيانة,,
62.0,521050,مخازن الأثاث والأخشاب,التخزين,,
63.0,453021,البيع بالجملة والتجزئة لبطاريات المركبات والشموع وتوابعها,التجارة,,
64.0,461013,وكلاء البيع في مواد النسيج الأولية,التجارة,,وكلاء البيع في مواد النسيج الأولية
65.0,461016,وكلاء البيع في المنسوجات والملبوسات,التجارة,,وكلاء البيع في المنسوجات والملبوسات
66.0,461017,وكلاء البيع للأثاث بما في ذلك الآلات المكتبية والحواسيب والمعدات الصناعية,التجارة,,وكلاء البيع للألات بما في ذلك الألات المكتبية والحواسيب والمعدات الصناعية 
67.0,461018,وكلاء البيع للأثاث والسلع المنزلية,التجارة,,وكلاء البيع للأثاث والسع المنزلية
68.0,471024,المعارض الدائمة لمنتجات المصانع,التجارة,,
69.0,464122,وكـلاء البيع في مستحضرات التجميل,التجارة,,البيع بالجملة للاقمشة النسائية
70.0,461043,استيراد المواد الصيدلانية المشعة,التجارة,,
71.0,462031,البيع بالجملة للزهور,التجارة,,البيع بالجملة للزهور 
72.0,461111,البيع بالجملة للمواد الأولية للنسـيج,التجارة,,
73.0,461112,البيع بالجملة للمنسوجات والأقمشة بأنواعها غير الملبوسات,التجارة,,
74.0,461113,البيع بالجملة لاكسسوارات الملابس مثل القفازات وأربطة العنق وحمالات البنطال والسبح والمظلات,التجارة,,
75.0,461191,البيع بالجملة للأثاث المنزلي والمكتبي,التجارة,,
76.0,461192,البيع بالجملة للأجهزة الالكترونية والكهربائية المنزلية,التجارة,,
77.0,464261,البيع بالجملة للنجف وأصناف الإضاءة,التجارة,,
78.0,464362,البيع بالجملة للحقائب,التجارة,,
79.0,464365,البيع بالجملة لمستلزمات وأدوات العناية بالأطفال,التجارة,,
80.0,464354,البيع بالجملة لأدوات التجميل,التجارة,,
81.0,464373,البيع بالجملة للعطور,التجارة,,
82.0,464394,البيع بالجملة للأدوات الفنية الخاصة بالرسم,التجارة,,
83.0,464392,البيع بالجملة للساعات,التجارة,,
84.0,464382,البيع بالجملة للمجوهرات,التجارة,,
85.0,464374,البيع بالجملة للمنتجات الخشبية والفنية والبلاستيكية,التجارة,,
86.0,475930,البيع بالتجزئة للأدوات المنزلية والمشغولات اليدوية المتنوعة,التجزئة,,البيع بالتجزئة  للادوات المنزلية والمشغولات اليدوية المتنوعة 
87.0,464391,البيع بالتجزئة للفرش والنفث والسلع المستخدمة في الإضاءة ومستـلزماتها,التجزئة,,
88.0,259320,خراطة المعادن,الصناعات التحويلية,,صناعة شفرات الحلاقة بأنواعها
89.0,265211,صناعة وتجميع ساعات اليد يشمل ساعات اليد ذات المعادن الثمينة,الصناعات التحويلية,,صناعة وتجميع ساعات اليد 
90.0,265212,صناعة وتجميع الساعات الكبيرة يشمل ساعات الحائط,الصناعات التحويلية,,صناعة وتجميع الساعات الكبيرة 
91.0,265213,صناعة ساعات الجيب,الصناعات التحويلية,, صناعة ساعات الجيب 
92.0,265214,صناعة أجزاء الساعات بأنواعها يشمل نواقل الساعات,الصناعات التحويلية,, صناعة أجزاء الساعات بأنواعها 
93.0,310031,صناعة الأثاث من الخيزران والقصب والنخيل لجميع الاستخدامات,الصناعات التحويلية,,صناعة الأثاث من الخيزران والقصب والقش لجميع الاستخدامات 
94.0,310033,صناعة الأثاث من الجلود لجميع الاستخدامات,الصناعات التحويلية,,صناعة الأثاث من الجلود لجميع الاستخدامات 
95.0,310041,تنجيد الأثاث,الصناعات التحويلية,,تنجيد الأثاث
96.0,310042,تفصيل الحشايا بمختلف أنواعها,الصناعات التحويلية,,تفصيل الحشايا (المراتب) بمختلف أنواعها 
97.0,321111,إنتاج الأحجار الكريمة أو شبه الكريمة الصناعية,الصناعات التحويلية,,انتاج اللؤلؤ  المشغول 
98.0,321116,صناعة وتركيب مجوهرات من أحجار كريمة أو شبه كريمة أو معادن ثمينة,الصناعات التحويلية,,صناعة وتركيب مجوهرات من أحجار كريمة أو مدموجة مع معادن ثمينة 
99.0,321117,صناعة أجزاء الحلي والمجوهرات,الصناعات التحويلية,,صناعة أجزاء الحلي والمجوهرات 
100.0,321133,صناعة المسبح,الصناعات التحويلية,,
,410010,الإنشاءات العامة للمباني السكنية,التشييد,شركة الابنية العمرانية,الإنشاءات العامة للمباني السكنية
,410021,الإنشاءات العامة للمباني غير السكنية (مثل المدارس والمستشفيات والفنادق ...الخ),التشييد,شركة الابنية العمرانية,الإنشاءات العامة للمباني الغير السكنية 
,410023,الإنشاءات العامة للمباني الحكومية,التشييد,شركة الابنية العمرانية,الإنشاءات العامة للمباني الغير السكنية  الحديدية
,410030,إنشاءات المباني الجاهزة في المواقع,التشييد,شركة الابنية العمرانية,إنشاءات المباني الجاهزة في المواقع 
,410040,ترميمات المباني السكنية وغير السكنية,التشييد,شركة الابنية العمرانية,ترميمات المباني السكنية والغير سكنية
,431101,هدم وإزالة المباني وغيرها,التشييد,شركة الابنية العمرانية,
,431210,إعداد وتجهيز المواقع من الحفر والتسوية,التشييد,شركة الابنية العمرانية,اعداد وتجهيز المواقع من الحفر والتسوية 
,431220,صب القواعد والأساسات,التشييد,شركة الابنية العمرانية,صب القواعد والاساسات 
,431230,سحب المياه الجوفية وتجفيف المواقع,التشييد,شركة الابنية العمرانية,سحب المياه الجوفية وتجفيف المواقع
,432210,تركيب أنظمة التدفئة بالكهرباء أو الغاز أو الزيت وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تركيب انظمة التدفئة بالكهرباء اوالغاز اوالزيت وصيانتها واصلاحها
,432220,تركيب شبكات الطاقة الشمسية وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تركيب شبكات الطاقة الشمسية وصيانتها واصلاحها
,432230,تركيب الأدوات الصحية وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تركيب الادوات الصحية وصيانتها واصلاحها
,432240,تركيب أنظمة التبريد وتكييف الهواء وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها
,432251,تمديدات أنابيب الغاز وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تمديدات انابيب الغاز وصيانتها واصلاحها
,432252,تمديدات أنابيب البخار وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تمديدات انابيب البخار وصيانتها واصلاحها
,432253,تمديدات أنابيب الحريق وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تمديدات انابيب الحريق وصيانتها واصلاحها
,432254,تمديدات أنابيب الري وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تمديدات انابيب الري وصيانتها واصلاحها
,432260,تركيب وتمديد أنابيب تكييف الهواء وصيانتها وإصلاحها,التشييد,شركة الابنية العمرانية,تركيب وتمديد انابيب تكييف الهواء وصيانتها واصلاحها
,433010,تشطيب المباني,التشييد,شركة الابنية العمرانية, تشطيب المباني 
,433021,تركيب الأبواب والشبابيك وإطارات الأبواب الشرشوب والدربزینات والسلالم والمطابخ الخشبية,التشييد,شركة الابنية العمرانية,تركيب الابواب والشبابيك وإطارات الابواب ( الشرشوب ) والدربزينات والسلالم والمطابخ الخشبية
,433022,تركيب الأبواب والشبابيك وإطارات الأبواب الشرشوب والدربزینات والسلالم والمطابخ الألمنيوم,التشييد,شركة الابنية العمرانية,تركيب الابواب والشبابيك وإطارات الابواب ( الشرشوب ) والدربزينات والسلالم والمطابخ الالمونيوم
,433023,تركيب الأبواب والشبابيك وإطارات الأبواب الشرشوب والدربزینات والسلالم والمطابخ المعدنية,التشييد,شركة الابنية العمرانية,تركيب الابواب والشبابيك وإطارات الابواب ( الشرشوب ) والدربزينات والسلالم والمطابخ  المعدنية
,433024,تركيب المظلات والسواتر,التشييد,شركة الابنية العمرانية,
,433030,تركيب الأسقف الداخلية والحواجز وتلبيس الجدران بالأخشاب,التشييد,شركة الابنية العمرانية,تركيب الاسقف الداخلية والحواجز وتلبيس الجدران بالأخشاب
,433041,تركيب السيراميك والكاشي,التشييد,شركة الابنية العمرانية,تركيب السيراميك والكاشي  
,433042,تركيب الرخام,التشييد,شركة الابنية العمرانية,تركيب الرخام
,433043,تركيب الحجر,التشييد,شركة الابنية العمرانية,تركيب الحجر 
,433044,تركيب القرميد,التشييد,شركة الابنية العمرانية,تركيب القرميد 
,433045,جلي وتلميع البلاط والرخام,التشييد,شركة الابنية العمرانية,
,433051,تغطية الأرضيات خشب الباركيه,التشييد,شركة الابنية العمرانية,تغطية الارضيات خشب الباركيه 
,433052,تغطية الأرضيات بالمطاط والمشمع والبلاستيك,التشييد,شركة الابنية العمرانية,تغطية الارضيات بالمطاط والمشمع والبلاستيك 
,433061,أعمال وتركيب الديكورات المختلفة,التشييد,شركة الابنية العمرانية,أعمال وتركيب الديكورات  
,433062,أعمال التزيين ولصق ورق الحائط,التشييد,شركة الابنية العمرانية,أعمال التزيين ولصق  ورق الحائط
,433071,أعمال التجصيص والمساح,التشييد,شركة الابنية العمرانية,أعمال التجصيص والمساح
,433072,أعمال الدهانات والطلاء للمباني الداخلية والخارجية,التشييد,شركة الابنية العمرانية,أعمال الدهانات والطلاء للمباني الداخلية والخارجية
,433073,أعمال الدهانات والطلاء لهياكل الهندسة الحديثة,التشييد,شركة الابنية العمرانية,أعمال الدهانات والطلاء  لهياكل الهندسة الحديثة 
,433081,تركيب الزجاج والمرايا للمباني,التشييد,شركة الابنية العمرانية,تركيب الزجاج والمرايا للمباني
,433082,تركيب زجاج واجهات الأبراج,التشييد,شركة الابنية العمرانية,تركيب زجاج واجهات الابراج
,433091,تنظيف المباني الجديدة بعد الإنشاء,التشييد,شركة الابنية العمرانية,تنظيف المباني الجديدة بعد الإنشاء 
,433092,التركيبات الداخلية للمحلات والمباني المتحركة والقوارب,التشييد,شركة الابنية العمرانية,التركيبات الداخلية للمحلات والمباني المتحركة والقوارب
,433093,تركيب الأثاث,التشييد,شركة الابنية العمرانية,تركيب الأثاث
,521011,تشغيل مرافق التخزين لجميع أنواع البضائع باستثناء المواد الغذائية,النقل والتخزين,شركة العمرانية للدعم اللوجستي,تشغيل مرافق التخزين لجميع أنواع البضائع
,465992,البيع بالجملة للآلات الصناعية يشمل بيع المناجر والمناشر,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات,شركة العمرانية للدعم اللوجستي,البيع بالجملة للآلات الصناعية 
,465993,البيع بالجملة لآلات ومعدات التشييد والبناء والهندسة المدنية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات,شركة العمرانية للدعم اللوجستي,البيع بالجملة لألآت ومعدات التشييد والبناء والهندسة المدنية
,466382,البيع بالجملة للعدد والأدوات اليدوية مثل المفك والمنشار والمطارق وغيرها,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدراجات,شركة العمرانية للدعم اللوجستي,البيع بالجملة للعدد والادوات اليدوية 
,239910,صناعة مواد الاحتكاك من مواد معدنية (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,المصنع السعودي,صناعة مواد الاحتكاك من مواد معدنية
,239940,إنتاج أحجار رحى الطواحين وأحجار السن والصقل والشحذ (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,المصنع السعودي,انتاج أحجار رحى الطواحين وأحجار السن والصقل والشحذ
,241012,صناعة منتجات أولية من الحديد على شكل كتل من الركائز والمخلفات بعد إعادة صهرها (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,شركة تشكيل المعادن,صناعة منتجات أولية من الحديد على شكل كتل من الركائز والمخلفات بعد إعادة صهرها
,241025,صناعة حديد الزهر بما في ذلك مسبوكات حديد الصلب والزهر (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,شركة تشكيل المعادن,صناعة حديد الزهر ما في ذلك مسبوكات حديد الصلب والزهر 
,241040,صناعة صفائح وألواح ولفائف شريطية وقضبان وأسياخ وزوايا وأسلاك ومقاطع بكافة أشكالها (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,شركة تشكيل المعادن,صناعة صفائح وألواح ولفائف شريطية وقضبان وأسـياخ وزوايا وأسلاك ومقاطع بكافة أشكالها
,310010,صناعة الأثاث والموبليا من الخشب (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث والموبيليا من الخشب
,310021,صناعة الأثاث المعدني للمنازل والمكاتب والمطاعم والفنادق (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث المعدني للمنازل والمكاتب والمطاعم والفنادق
,310022,صناعة الأثاث من الألمنيوم لمختلف الأغراض والاستخدامات (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث من الألمنيوم لمختلف الأغراض والاستخدامات  
,310031,صناعة الأثاث من الخيزران والقصب والقش لجميع الاستخدامات (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث من الخيزران والقصب والقش لجميع الاستخدامات 
,310033,صناعة الأثاث من الجلود لجميع الاستخدامات (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة الأثاث من الجلود لجميع الاستخدامات 
,310041,تنجيد الأثاث,الصناعات التحويلية,الخشبية,تنجيد الأثاث
,310042,تفصيل الحشايا (المراتب) بمختلف أنواعها,الصناعات التحويلية,الخشبية,تفصيل الحشايا (المراتب) بمختلف أنواعها 
,310050,صناعة وتفصيل المجالس العربية (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة وتفصيل المجالس العربية 
,310060,صناعة التركيبات للمحلات والمطاعم يشمل تركيب ديكورات وما شابهها (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة التركيبات للمحلات والمطاعم 
,310070,صناعة المطابخ من الخشب والألمنيوم وغيرها (يتطلب ترخيص من وزارة الصناعة والثروة المعدنية),الصناعات التحويلية,الخشبية,صناعة المطابخ من الخشب والألمنيوم  الخ 
